date,vessel,type,class
Royal Navy,24 Jun 1944,HMS Swift (G 46),Destroyer
Royal Navy,26 Jun 1944,HMS MTB 734 (MTB 734),Motor Torpedo Boat
Royal Navy,27 Jun 1944,HMS MGB 326 (MGB 326),Motor Gun Boat
Royal Navy,27 Jun 1944,HMS MGB 640 (MGB 640),Motor Gun Boat
US Navy,29 Jun 1944,USS Valor (AMc-108),Minesweeper
Royal Navy,Jul 1944,HMS LCT 2331 (LCT 2331),Landing craft tank
Royal Navy,1 Jul 1944,HMS ML 265 (ML 265),Motor Launch
Royal Navy,1 Jul 1944,HMS ML 287 (ML 287),Motor Launch
Royal Canadian Navy,1 Jul 1944,HMCS MTB 460 (MTB 460),Motor Torpedo Boat
Royal Navy,2 Jul 1944,HMS MMS 1019 (FY 1019),Motor minesweeper
US Navy,2 Jul 1944,USS YMS-350 (YMS-350),Minesweeper
US Navy,4 Jul 1944,USS S-28 (133),Submarine
Royal Navy,5 Jul 1944,HMS Ganilly (T 367),MS Trawler
Royal Navy,5 Jul 1944,HMS MTB 666 (MTB 666),Motor Torpedo Boat
Royal Navy,6 Jul 1944,HMS Cato (J 16),Minesweeper
Royal Navy,6 Jul 1944,HMS Magic (J 400),Minesweeper
Royal Navy,7 Jul 1944,HMS LST 216 (LST 216),Tank landing ship
Royal Canadian Navy,7 Jul 1944,HMCS MTB 463 (MTB 463),Motor Torpedo Boat
Polish Navy,8 Jul 1944,ORP Dragon (D 46),Light cruiser
French Navy,8 Jul 1944,FR Perlé,Submarine
Royal Navy,8 Jul 1944,HMS Pylades (J 401),Minesweeper
Royal Navy,9 Jul 1944,HMS LCT 300 (LCT 300),Landing Craft Tank
Royal Navy,9 Jul 1944,HMS LCT 511 (LCT 511),Landing Craft Tank
Royal Navy,9 Jul 1944,HMS MGB 115 (MGB 115),Motor Gun Boat
US Navy,9 Jul 1944,USS Swerve (AM 121),Minesweeper
Royal Navy,10 Jul 1944,HMS MMS 55 (J 555),Motor minesweeper
Royal Navy,12 Jul 1944,HMS ML 443 (ML 443),Motor Launch
Royal Navy,15 Jul 1944,HMS LCT 2263 (LCT 2263),Landing craft tank
US Navy,15 Jul 1944,USS PT 133,Motor torpedo boat
Royal Navy,16 Jul 1944,HMS LCT 7057 (LCT 7057),Landing Craft Tank
Royal Navy,17 Jul 1944,HMS LCT 387 (LCT 387),Landing Craft Tank
US Navy,18 Jul 1944,USS SC-1072 (SC-1072),Submarine chaser
Royal Navy,20 Jul 1944,HMS Isis (D 87),Destroyer
Royal Navy,20 Jul 1944,HMS LCT 2337 (LCT 2337),Landing craft tank
Royal Navy,20 Jul 1944,HMS LCT 689 (LCT 689),Landing Craft Tank
Brazilian Navy,21 Jul 1944,BZ Camaqua (C 6),Minelayer
Royal Navy,24 Jul 1944,HMS MTB 372 (MTB 372),Motor Torpedo Boat
US Navy,26 Jul 1944,USS Robalo (273),Submarine
Royal Navy,27 Jul 1944,HMS MTB 412 (MTB 412),Motor Torpedo Boat
Royal Navy,27 Jul 1944,HMS MTB 412 (MTB 412),Motor Torpedo Boat
Soviet Navy,27 Jul 1944,USSR V-1,Submarine
Royal Navy,29 Jul 1944,HMS Lord Wakefield (FY 170),ASW Trawler
Royal Navy,29 Jul 1944,HMS Prince Leopold (4.251),Landing Ship Infantry
US Navy,30 Jul 1944,USS YMS-304 (YMS-304),Minesweeper
US Navy,30 Jul 1944,USS YMS-378 (YMS-378),Minesweeper
US Navy,2 Aug 1944,USS Fiske (i) (DE 143),Destroyer Escort
Royal Navy,3 Aug 1944,HMS Quorn (L 66),Escort destroyer
Royal Navy,4 Aug 1944,HMS Gairsay (T 290),MS Trawler
Royal Navy,5 Aug 1944,HMS LCT 1076 (LCT 1076),Landing Craft Tank
Royal Canadian Navy,8 Aug 1944,HMCS Regina (K 234),Corvette
US Navy,9 Aug 1944,USS PT 509,Motor torpedo boat
Royal Indian Navy,10 Aug 1944,HMIS Kutubtari (FY 086),Auxiliary patrol vessel
Royal Navy,10 Aug 1944,HMS LCT 1092 (LCT 1092),Landing Craft Tank
US Navy,13 Aug 1944,USS Flier (250),Submarine
Royal Navy,14 Aug 1944,HMS LCI(L)-99 (LCI(L)-99),Landing Craft Infantry
US Navy,14 Aug 1944,USS LST 921 (LST 921),Tank landing ship
Royal Australian Navy,14 Aug 1944,HMAS ML 430 (ML 430),Motor Launch
US Navy,15 Aug 1944,USS LST 282 (LST 282),Tank landing ship
Royal Navy,15 Aug 1944,HMS LST 404 (LST 404),Tank landing ship
Royal Navy,16 Aug 1944,HMS BYMS 2022 (J 822),Minesweeper
Royal Navy,16 Aug 1944,HMS MFV 624 (MFV 624),Motor Fishing Vessel
Royal Navy,16 Aug 1944,HMS MGB 313 (MGB 313),Motor Gun Boat
Royal Navy,16 Aug 1944,HMS ML 563 (ML 563),Motor Launch
US Navy,16 Aug 1944,USS PT 202,Motor torpedo boat
US Navy,16 Aug 1944,USS PT 218,Motor torpedo boat
US Navy,16 Aug 1944,USS YMS-24 (YMS-24),Minesweeper
Royal Navy,17 Aug 1944,HMS LCT 123 (LCT 123),Landing Craft Tank
Royal Navy,18 Aug 1944,HMS Fratton,Armed boarding vessel
Royal Navy,18 Aug 1944,HMS MTB 707 (MTB 707),Motor Torpedo Boat
Royal Navy,20 Aug 1944,HMS HDML 1179 (ML 1179),Harbour Defence Motor Launch
Royal Canadian Navy,21 Aug 1944,HMCS Alberni (K 103),Corvette
Royal Navy,21 Aug 1944,HMS Kite (U 87),Sloop
Royal Navy,21 Aug 1944,HMS Orchis (K 76),Corvette
Royal Navy,22 Aug 1944,HMS Bickerton (K 466),Frigate
Royal Navy,22 Aug 1944,HMS MTB 243 (MTB 243),Motor Torpedo Boat
Royal Navy,22 Aug 1944,HMS Rattler (J 217),Minesweeper
US Navy,23 Aug 1944,USS PT 555,Motor torpedo boat
US Navy,24 Aug 1944,USS Harder (257),Submarine
Royal Navy,25 Aug 1944,HMS LCT 1074 (LCT 1074),Landing Craft Tank
Royal Navy,26 Aug 1944,HMS HDML 1381 (ML 1381),Harbour Defence Motor Launch
Royal Navy,27 Aug 1944,HMS Britomart (J 22),Minesweeper
Royal Navy,27 Aug 1944,HMS Hussar (J 82),Minesweeper
Royal Navy,1 Sep 1944,HMS Hurst Castle (K 416),Corvette
Royal Navy,1 Sep 1944,HMS MMS 117 (J 617),Motor minesweeper
US Navy,1 Sep 1944,USS YMS-21 (YMS-21),Minesweeper
Soviet Navy,8 Sep 1944,USSR M-96,Submarine
US Navy,12 Sep 1944,USS Noa (i) (DD 343),Destroyer
US Navy,12 Sep 1944,USS YMS-409 (YMS-409),Minesweeper
Royal Navy,13 Sep 1944,HMS MFV 1032 (MFV 1032),Motor Fishing Vessel
US Navy,13 Sep 1944,USS Perry (i) (DMS 17),Destroyer
US Navy,13 Sep 1944,USS Warrington (i) (DD 383),Destroyer
United States Coast Guard,14 Sep 1944,USCGC Antietam (WPC 128),Patrol vessel
United States Coast Guard,14 Sep 1944,USCGC Jackson (WPC 142),Patrol vessel
Royal Navy,14 Sep 1944,HMS MMS 278 (J 778),Motor minesweeper
US Navy,19 Sep 1944,USS LCI(L)-459 (LCI(L)-459),Landing Craft Infantry
Soviet Navy,21 Sep 1944,USSR ShCh-402,Submarine
US Navy,24 Sep 1944,USS YMS-19 (YMS-19),Minesweeper
Royal Navy,27 Sep 1944,HMS Rockingham (G 58),Destroyer
Royal Navy,28 Sep 1944,HMS ML 216 (ML 216),Motor Launch
US Navy,Oct 1944,USS Escolar (294),Submarine
Royal Navy,Oct 1944,HMS LCT 377 (LCT 377),Landing Craft Tank
Royal Navy,Oct 1944,HMS LCT 943 (LCT 943),Landing Craft Tank
Soviet Navy,Oct 1944,USSR TKA 222,Motor Torpedo Boat
Royal Navy,1 Oct 1944,HMS MTB 347 (MTB 347),Motor Torpedo Boat
Royal Navy,1 Oct 1944,HMS MTB 360 (MTB 360),Motor Torpedo Boat
US Navy,1 Oct 1944,USS YMS-385 (YMS-385),Minesweeper
US Navy,3 Oct 1944,USS Seawolf (197),Submarine
US Navy,3 Oct 1944,USS Shelton (i) (DE 407),Destroyer Escort
Royal Navy,5 Oct 1944,HMS BYMS 2255 (J 1055),Minesweeper
Royal Navy,5 Oct 1944,HMS HDML 1227 (ML 1227),Harbour Defence Motor Launch
Royal Indian Navy,7 Oct 1944,HMIS HDML 1119 (ML 1119),Harbour Defence Motor Launch
Royal Navy,8 Oct 1944,HMS BYMS 2030 (J 830),Minesweeper
US Navy,9 Oct 1944,USS LCT 459 (LCT 459),Landing craft tank
Royal Navy,10 Oct 1944,HMS MGB 663 (MGB 663),Motor Gun Boat
US Navy,11 Oct 1944,USS LCT 293 (LCT 293),Landing craft tank
US Navy,11 Oct 1944,USS PT 368,Motor torpedo boat
Royal Navy,12 Oct 1944,HMS MMS 170 (J 670),Motor minesweeper
Royal Navy,13 Oct 1944,HMS HDML 1057 (ML 1057),Harbour Defence Motor Launch
US Navy,13 Oct 1944,USS LCT 454 (LCT 454),Landing craft tank
Royal Navy,14 Oct 1944,HMS MFV 117 (MFV 117),Motor Fishing Vessel
Royal Hellenic Navy,15 Oct 1944,RHS Kassos,Minesweeper
Royal Hellenic Navy,15 Oct 1944,RHS Kos,Minesweeper
Royal Navy,15 Oct 1944,HMS ML 870 (ML 870),Motor Launch
US Navy,17 Oct 1944,USS YMS-70 (YMS-70),Minesweeper
Royal Australian Navy,18 Oct 1944,HMAS Geelong (J 201),Minesweeper
Royal Navy,19 Oct 1944,HMS LCT 480 (LCT 480),Landing Craft Tank
Royal Navy,19 Oct 1944,HMS LCT 488 (LCT 488),Landing Craft Tank
Royal Navy,19 Oct 1944,HMS LCT 491 (LCT 491),Landing Craft Tank
Royal Navy,19 Oct 1944,HMS LCT 494 (LCT 494),Landing Craft Tank
Royal Navy,19 Oct 1944,HMS LCT 7014 (LCT 7014),Landing Craft Tank
Royal Navy,19 Oct 1944,HMS LCT 7015 (LCT 7015),Landing Craft Tank
Royal Navy,23 Oct 1944,HMS LCT 1171 (LCT 1171),Landing Craft Tank
US Navy,24 Oct 1944,USS Darter (227),Submarine
US Navy,24 Oct 1944,USS LCI(L)-1065 (LCI(L)-1065),Landing Craft Infantry
US Navy,24 Oct 1944,USS Princeton(i) (CVL 23),Light fleet carrier
US Navy,24 Oct 1944,USS Shark (ii) (314),Submarine
US Navy,24 Oct 1944,USS Sonoma (AT 12),Fleet tug
US Navy,24 Oct 1944,USS Tang (306),Submarine
Royal Navy,25 Oct 1944,HMS BYMS 2077 (J 877),Minesweeper
US Navy,25 Oct 1944,USS Gambier Bay (CVE 73),Escort carrier
US Navy,25 Oct 1944,USS Hoel (DD 533),Destroyer
US Navy,25 Oct 1944,USS Johnston (i) (DD 557),Destroyer
Royal Navy,25 Oct 1944,HMS LCT 1045 (LCT 1045),Landing Craft Tank
US Navy,25 Oct 1944,USS Midway (i) / St. Lo (CVE 63),Escort carrier
US Navy,25 Oct 1944,USS PT 493,Motor torpedo boat
US Navy,25 Oct 1944,USS Samuel B. Roberts (i) (DE 413),Destroyer Escort
Royal Canadian Navy,25 Oct 1944,HMCS Skeena (D 59),Destroyer
Royal Norwegian Navy,26 Oct 1944,HNoMS Rose (K 102),Corvette
US Navy,28 Oct 1944,USS Eversole (i) (DE 404),Destroyer Escort
Royal Navy,30 Oct 1944,HMS LCT 936 (LCT 936),Landing Craft Tank
Royal Navy,Nov 1944,HMS LCT 2461 (LCT 2461),Landing craft tank
US Navy,1 Nov 1944,USS Abner Read (DD 526),Destroyer
US Navy,1 Nov 1944,USS LCI(L)-684 (LCI(L)-684),Landing Craft Infantry
Royal Navy,2 Nov 1944,HMS Colsay (T 384),MS Trawler
Royal Navy,2 Nov 1944,HMS LCT 7011 (LCT 7011),Landing Craft Tank
Royal Navy,2 Nov 1944,HMS LCT 789 (LCT 789),Landing Craft Tank
Royal Navy,2 Nov 1944,HMS LCT 839 (LCT 839),Landing Craft Tank
Royal Navy,2 Nov 1944,HMS Northcoates (FY 548),MS Trawler
Royal Navy,3 Nov 1944,HMS ML 147 (ML 147),Motor Launch
US Navy,5 Nov 1944,USS PT 320,Motor torpedo boat
Royal Navy,6 Nov 1944,HMS LCT 609 (LCT 609),Landing Craft Tank
US Navy,7 Nov 1944,USS Albacore (218),Submarine
Royal Navy,7 Nov 1944,HMS LCT 976 (LCT 976),Landing Craft Tank
Royal Navy,7 Nov 1944,HMS LST 420 (LST 420),Tank landing ship
US Navy,8 Nov 1944,USS Growler (215),Submarine
Royal Navy,8 Nov 1944,HMS ML 916 (ML 916),Motor Launch
US Navy,10 Nov 1944,USS PT 321,Motor torpedo boat
US Navy,11 Nov 1944,USS Scamp (277),Submarine
Italian Navy,15 Nov 1944,IT Luigi Settembrini,Submarine
Royal Navy,17 Nov 1944,HMS LCT 1022 (LCT 1022),Landing Craft Tank
US Navy,17 Nov 1944,USS LST 6 (LST 6),Tank landing ship
US Navy,18 Nov 1944,USS PT 311,Motor torpedo boat
US Navy,20 Nov 1944,USS Mississinewa (AO 59),Oiler
Royal Australian Navy,20 Nov 1944,HMAS ML 827 (ML 827),Motor Launch
Royal Navy,22 Nov 1944,HMS Stratagem (P 234),Submarine
Royal Navy,24 Nov 1944,HMS MTB 287 (MTB 287),Motor Torpedo Boat
Royal Navy,24 Nov 1944,HMS MTB 371 (MTB 371),Motor Torpedo Boat
US Navy,25 Nov 1944,USS PT 363,Motor torpedo boat
Royal Canadian Navy,25 Nov 1944,HMCS Shawinigan (K 136),Corvette
US Navy,27 Nov 1944,USS SC-744 (SC-744),Submarine chaser
Royal Navy,29 Nov 1944,HMS MMS 101 (J 601),Motor minesweeper
US Navy,3 Dec 1944,USS Cooper (DD 695),Destroyer
Royal Navy,5 Dec 1944,HMS LCT 328 (LCT 328),Landing Craft Tank
US Navy,5 Dec 1944,USS LSM 20 (LSM 20),Medium landing ship
Royal Navy,6 Dec 1944,HMS Bullen (K 469),Frigate
US Navy,7 Dec 1944,USS LSM 318 (LSM 318),Medium landing ship
US Navy,7 Dec 1944,USS Mahan (DD 364),Destroyer
US Navy,7 Dec 1944,USS Ward (DD 139),Destroyer
US Navy,10 Dec 1944,USS PT 323,Motor torpedo boat
Royal Navy,11 Dec 1944,HMS MMS 257 (J 757),Motor minesweeper
US Navy,11 Dec 1944,USS Reid (DD 369),Destroyer
US Navy,11 Dec 1944,USS SC-1059 (SC-1059),Submarine chaser
Royal Norwegian Navy,12 Dec 1944,HNoMS Tunsberg Castle (K 374),Corvette
Royal Navy,14 Dec 1944,HMS Aldenham (L 22),Escort destroyer
US Navy,15 Dec 1944,USS LST 472 (LST 472),Tank landing ship
US Navy,15 Dec 1944,USS LST 738 (LST 738),Tank landing ship
US Navy,18 Dec 1944,USS Hull (DD 350),Destroyer
US Navy,18 Dec 1944,USS Monaghan (DD 354),Destroyer
US Navy,18 Dec 1944,USS PT 300,Motor torpedo boat
US Navy,18 Dec 1944,USS Spence (DD 512),Destroyer
US Navy,20 Dec 1944,USS LST 359 (LST 359),Tank landing ship
US Navy,21 Dec 1944,USS LST 460 (LST 460),Tank landing ship
US Navy,21 Dec 1944,USS LST 749 (LST 749),Tank landing ship
Royal Canadian Navy,24 Dec 1944,HMCS Clayoquot (J 174),Minesweeper
Royal Navy,26 Dec 1944,HMS Capel (K 470),Frigate
US Navy,28 Dec 1944,USS LST 750 (LST 750),Tank landing ship
Royal Navy,29 Dec 1944,HMS MTB 782 (MTB 782),Motor Torpedo Boat
Royal Navy,1945,HMS MMS 77 (J 577),Motor minesweeper
Royal Navy,2 Jan 1945,HMS Hayburn Wyke (FY 139),MS Trawler
US Navy,4 Jan 1945,USS Ommaney Bay (CVE 79),Escort carrier
Royal Navy,5 Jan 1945,HMS HDML 1163 (ML 1163),Harbour Defence Motor Launch
US Navy,6 Jan 1945,USS Hovey (DMS 11),Destroyer
US Navy,6 Jan 1945,USS Long (DMS 12),Destroyer
Royal Navy,6 Jan 1945,HMS Walpole (D 41),Destroyer
US Navy,7 Jan 1945,USS Palmer (DMS 5),Destroyer
Soviet Navy,7 Jan 1945,USSR S-4,Submarine
US Navy,10 Jan 1945,USS LCI(L)-974 (LCI(L)-974),Landing Craft Infantry
Royal Navy,11 Jan 1945,HMS Porpoise (N 14),Submarine
US Navy,11 Jan 1945,USS YMS-14 (YMS-14),Minesweeper
US Navy,12 Jan 1945,USS LCI(L)-600 (LCI(L)-600),Landing Craft Infantry
Royal Navy,12 Jan 1945,HMS Regulus (ii) (J 327),Minesweeper
US Navy,12 Jan 1945,USS Swordfish (193),Submarine
US Navy,14 Jan 1945,USS PT 73,Motor torpedo boat
Soviet Navy,16 Jan 1945,USSR Dejatelnyj,Destroyer
Royal Navy,16 Jan 1945,HMS LST 415 (LST 415),Tank landing ship
Royal Navy,18 Jan 1945,HMS MTB 690 (MTB 690),Motor Torpedo Boat
Royal Navy,19 Jan 1945,HMS Northern Isles (4.25),ASW Trawler
Royal Navy,21 Jan 1945,HMS Computator (FY 635),MS Trawler
US Navy,21 Jan 1945,USS LCT 253 (LCT 253),Landing craft tank
Royal Navy,21 Jan 1945,HMS ML 891 (ML 891),Motor Launch
US Navy,24 Jan 1945,USS Extractor (ARS 15),Salvage vessel
Royal Norwegian Navy,26 Jan 1945,HNoMS MTB 712 (MTB 712),Motor Torpedo Boat
US Navy,28 Jan 1945,USS PT 338,Motor torpedo boat
Royal Navy,30 Jan 1945,HMS MMS 248 (J 748),Motor minesweeper
US Navy,31 Jan 1945,USS PC-1129 (PC-1129),Patrol craft
Royal Navy,Feb 1945,HMS Alligator (W 51),Tug
US Navy,1 Feb 1945,USS PT 77,Motor torpedo boat
US Navy,1 Feb 1945,USS PT 79,Motor torpedo boat
Royal Navy,3 Feb 1945,HMS Arley (FY 620),MS Trawler
US Navy,4 Feb 1945,USS Barbel (316),Submarine
Royal Navy,4 Feb 1945,HMS MMS 68 (J 568),Motor minesweeper
Royal Navy,7 Feb 1945,HMS MGB 605 (MGB 605),Motor Gun Boat
Royal Navy,9 Feb 1945,HMS Hesperia (W 106),Rescue Tug
US Navy,9 Feb 1945,USS LST 563 (LST 563),Tank landing ship
US Navy,11 Feb 1945,USS LST 577 (LST 577),Tank landing ship
Royal Navy,11 Feb 1945,HMS ML 183 (ML 183),Motor Launch
Royal Navy,13 Feb 1945,HMS Denbigh Castle (K 696),Corvette
Royal Navy,14 Feb 1945,HMS MTB 255 (MTB 255),Motor Torpedo Boat
Royal Canadian Navy,14 Feb 1945,HMCS MTB 459 (MTB 459),Motor Torpedo Boat
Royal Canadian Navy,14 Feb 1945,HMCS MTB 461 (MTB 461),Motor Torpedo Boat
Royal Canadian Navy,14 Feb 1945,HMCS MTB 462 (MTB 462),Motor Torpedo Boat
Royal Canadian Navy,14 Feb 1945,HMCS MTB 465 (MTB 465),Motor Torpedo Boat
Royal Canadian Navy,14 Feb 1945,HMCS MTB 466 (MTB 466),Motor Torpedo Boat
Royal Navy,14 Feb 1945,HMS MTB 776 (MTB 776),Motor Torpedo Boat
Royal Navy,14 Feb 1945,HMS MTB 789 (MTB 789),Motor Torpedo Boat
Royal Navy,14 Feb 1945,HMS MTB 791 (MTB 791),Motor Torpedo Boat
Royal Navy,14 Feb 1945,HMS MTB 798 (MTB 798),Motor Torpedo Boat
US Navy,14 Feb 1945,USS YMS-48 (YMS-48),Minesweeper
Royal Navy,15 Feb 1945,HMS HDML 1417 (ML 1417),Harbour Defence Motor Launch
US Navy,16 Feb 1945,USS LCS(L)-26 (LCS(L)-26),Landing craft support
US Navy,16 Feb 1945,USS LCS(L)-49 (LCS(L)-49),Landing craft support
US Navy,16 Feb 1945,USS LCS(L)-7 (LCS(L)-7),Landing craft support
Royal Navy,17 Feb 1945,HMS Bluebell (K 80),Corvette
Royal Navy,17 Feb 1945,HMS Lark (U 11),Sloop
US Navy,17 Feb 1945,USS LCI(L)-474 (LCI(L)-474),Landing Craft Infantry
Royal Navy,20 Feb 1945,HMS Vervain (K 190),Corvette
US Navy,21 Feb 1945,USS Bismark Sea (CVE 95),Escort carrier
Royal Navy,22 Feb 1945,HMS LST 364 (LST 364),Tank landing ship
Royal Canadian Navy,22 Feb 1945,HMCS Trentonian (K 368),Corvette
Free French Navy,23 Feb 1945,FFL La Combattante,Escort destroyer
Royal Navy,24 Feb 1945,HMS Ellesmere (FY 204),ASW Whaler
Royal Navy,3 Mar 1945,HMS Southern Flower (FY 332),ASW Whaler
US Navy,5 Mar 1945,USS LCS(L)-127 (LCS(L)-127),Landing craft support
French Navy,10 Mar 1945,FR Amiral Charner,Colonial sloop
French Navy,10 Mar 1945,FR Marne,Gunboat
Royal Norwegian Navy,10 Mar 1945,HNoMS Nordhav II (FY 1906),MS Trawler
Royal Canadian Navy,17 Mar 1945,HMCS Guysborough (J 52),Minesweeper
US Navy,20 Mar 1945,USS Kete (369),Submarine
Royal Navy,20 Mar 1945,HMS Lapwing (U 62),Sloop
Royal Navy,20 Mar 1945,HMS LST 80 (LST 80),Tank landing ship
Royal Navy,22 Mar 1945,HMS MTB 655 (MTB 655),Motor Torpedo Boat
Royal Navy,23 Mar 1945,HMS MTB 705 (MTB 705),Motor Torpedo Boat
Royal Navy,25 Mar 1945,HMS ML 466 (ML 466),Motor Launch
US Navy,26 Mar 1945,USS Halligan (DD 584),Destroyer
US Navy,28 Mar 1945,USS Skylark (AM 63),Minesweeper
US Navy,28 Mar 1945,USS Trigger (237),Submarine
Royal Navy,Apr 1945,HMS MGB 99 (MGB 99),Motor Gun Boat
US Navy,Apr 1945,USS Snook (279),Submarine
US Navy,1 Apr 1945,USS LST 884 (LST 884),Tank landing ship
US Navy,3 Apr 1945,USS YMS-71 (YMS-71),Minesweeper
US Navy,4 Apr 1945,USS Dickerson (DD 157),Destroyer
US Navy,4 Apr 1945,USS LCI(L)-82 (LCI(L)-82),Landing Craft Infantry
US Navy,4 Apr 1945,USS LST 675 (LST 675),Tank landing ship
US Navy,6 Apr 1945,USS Bush (DD 529),Destroyer
US Navy,6 Apr 1945,USS Colhoun (ii) (DD 801),Destroyer
US Navy,6 Apr 1945,USS Emmons (DD 457),Destroyer
US Navy,7 Apr 1945,USS LST 447 (LST 447),Tank landing ship
Royal Navy,7 Apr 1945,HMS MTB 494 (MTB 494),Motor Torpedo Boat
Royal Navy,7 Apr 1945,HMS MTB 5001 (MTB 5001),Motor Torpedo Boat
US Navy,8 Apr 1945,USS YMS-103 (YMS-103),Minesweeper
Royal Navy,10 Apr 1945,HMS MTB 710 (MTB 710),Motor Torpedo Boat
US Navy,12 Apr 1945,USS LCS(L)-33 (LCS(L)-33),Landing craft support
US Navy,12 Apr 1945,USS LCT 66 (LCT 66),Landing craft tank
US Navy,12 Apr 1945,USS LST 493 (LST 493),Tank landing ship
US Navy,12 Apr 1945,USS Mannert L. Abele (DD 733),Destroyer
Royal Canadian Navy,16 Apr 1945,HMCS Esquimalt (J 272),Minesweeper
US Navy,16 Apr 1945,USS Pringle (DD 477),Destroyer
Royal Navy,17 Apr 1945,HMS MTB 697 (MTB 697),Motor Torpedo Boat
US Navy,22 Apr 1945,USS LCS(L)-15 (LCS(L)-15),Landing craft support
US Navy,22 Apr 1945,USS SC-1019 (SC-1019),Submarine chaser
US Navy,22 Apr 1945,USS Swallow (AM 65),Minesweeper
US Navy,23 Apr 1945,USS PE-56 (PE-56),Patrol craft
US Navy,24 Apr 1945,USS Frederick C. Davis (DE 136),Destroyer Escort
Royal Navy,28 Apr 1945,HMS BYMS 2053 (J 853),Minesweeper
Royal Navy,29 Apr 1945,HMS Goodall (K 479),Frigate
Royal Navy,2 May 1945,HMS Ebor Wyke (FY 1601),MS Trawler
US Navy,2 May 1945,USS YMS-481 (YMS-481),Minesweeper
US Navy,3 May 1945,USS Lagarto (371),Submarine
US Navy,3 May 1945,USS Little (ii) (DD 803),Destroyer
US Navy,3 May 1945,USS LSM(R) 195 (LSM(R) 195),Medium landing ship (rocket)
US Navy,4 May 1945,USS LSM(R) 190 (LSM(R) 190),Medium landing ship (rocket)
US Navy,4 May 1945,USS LSM(R) 194 (LSM(R) 194),Medium landing ship (rocket)
US Navy,4 May 1945,USS Luce (DD 522),Destroyer
US Navy,4 May 1945,USS Morrison (DD 560),Destroyer
Royal Navy,5 May 1945,HMS Coriolanus (T 140),MS Trawler
Royal Navy,5 May 1945,HMS ML 558 (ML 558),Motor Launch
Royal Navy,9 May 1945,HMS ML 591 (ML 591),Motor Launch
Royal Navy,9 May 1945,HMS ML 905 (ML 905),Motor Launch
US Navy,18 May 1945,USS Longshaw (DD 559),Destroyer
Royal Norwegian Navy,19 May 1945,HNoMS MTB 715 (MTB 715),Motor Torpedo Boat
US Navy,20 May 1945,USS LST 808 (LST 808),Tank landing ship
US Navy,25 May 1945,USS Bates (DE 68),Destroyer Escort
US Navy,25 May 1945,USS LSM 135 (LSM 135),Medium landing ship
US Navy,28 May 1945,USS Drexler (DD 741),Destroyer
Royal Navy,29 May 1945,HMS LCT 357 (LCT 357),Landing Craft Tank
US Navy,8 Jun 1945,USS Salute (AM 294),Minesweeper
US Navy,10 Jun 1945,USS William D. Porter (DD 579),Destroyer
US Navy,16 Jun 1945,USS Twiggs (ii) (DD 591),Destroyer
US Navy,18 Jun 1945,USS Bonefish (223),Submarine
US Navy,18 Jun 1945,USS YMS-50 (YMS-50),Minesweeper
Royal Navy,21 Jun 1945,HMS Hildasay (T 173),MS Trawler
US Navy,21 Jun 1945,USS LSM 59 (LSM 59),Medium landing ship
Royal Navy,25 Jun 1945,HMS MMS 168 (J 668),Motor minesweeper
US Navy,26 Jun 1945,USS YMS-365 (YMS-365),Minesweeper
US Navy,26 Jun 1945,USS YMS-39 (YMS-39),Minesweeper
Royal Navy,Jul 1945,HMS MTB 242 (MTB 242),Motor Torpedo Boat
Brazilian Navy,4 Jul 1945,BZ Bahia (C 12),Light cruiser
Royal Navy,8 Jul 1945,HMS La Nantaise (FY 360),ASW Trawler
US Navy,9 Jul 1945,USS YMS-84 (YMS-84),Minesweeper
Royal Navy,10 Jul 1945,HMS Kurd (FY 639),MS Trawler
Royal Dutch Navy,10 Jul 1945,HNMS O 19 (N 54),Submarine
US Navy,10 Jul 1945,USS SC-521 (SC-521),Submarine chaser
Royal Navy,17 Jul 1945,HMS Athlete (W 150),Rescue Tug
Royal Navy,24 Jul 1945,HMS Squirrel (J 301),Minesweeper
US Navy,24 Jul 1945,USS Underhill (DE 682),Destroyer Escort
Royal Navy,26 Jul 1945,HMS Vestal (J 215),Minesweeper
US Navy,27 Jul 1945,USS LCT 1050 (LCT 1050),Landing craft tank
US Navy,28 Jul 1945,USS Callaghan (DD 792),Destroyer
US Navy,30 Jul 1945,USS Indianapolis (CA 35),Heavy cruiser
US Navy,6 Aug 1945,USS Bullhead (332),Submarine
Royal Navy,17 Aug 1945,HMS ML 230 (ML 230),Motor Launch
Soviet Navy,24 Aug 1945,USSR L-19,Submarine
Royal Navy,26 Aug 1945,HMS MTB 261 (MTB 261),Motor Torpedo Boat
